Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
5,FL,35 (4),5 (1),15 (3),15 (3),14 (3),6 (3),2 (1),51 (5),63 (4),72 (4),64 (5),42 (5),13 (3),3 (1),2 (1)
5,GA,32 (5),4 (2),17 (5),14 (4),13 (3),6 (3),2 (2),45 (5),56 (6),74 (5),62 (5),36 (5),9 (3),4 (2),1 (1)
5,HI,37 (6),4 (2),22 (5),15 (5),12 (4),5 (3),2 (2),42 (6),55 (6),78 (5),82 (5),46 (6),15 (5),5 (3),2 (1)
5,IA,32 (6),5 (2),18 (5),14 (4),9 (3),3 (2),0 (1),43 (7),59 (6),69 (6),52 (6),42 (6),10 (4),5 (2),2 (2)
5,ID,37 (6),9 (3),28 (6),24 (6),15 (5),6 (3),2 (2),35 (6),45 (7),70 (6),38 (7),63 (6),13 (4),8 (4),4 (3)
5,IL,34 (5),4 (2),20 (4),13 (4),9 (3),3 (2),2 (1),52 (5),61 (5),74 (5),71 (5),40 (5),9 (3),4 (2),1 (1)
5,IN,38 (6),5 (2),19 (5),17 (4),11 (4),6 (3),2 (2),41 (6),57 (6),75 (5),54 (6),50 (6),13 (4),5 (2),4 (3)
5,KS,37 (7),6 (4),25 (6),24 (6),13 (5),9 (4),1 (2),43 (7),57 (7),68 (7),49 (7),46 (7),14 (5),5 (3),3 (2)
5,KY,33 (6),4 (2),17 (5),16 (4),14 (5),6 (3),2 (2),44 (6),53 (6),75 (6),54 (6),42 (6),8 (3),4 (2),2 (2)
5,LA,40 (7),5 (2),18 (6),19 (7),14 (4),9 (4),0 (1),52 (7),64 (7),81 (6),60 (7),49 (7),11 (4),10 (5),3 (2)
5,MA,33 (5),3 (2),16 (4),8 (3),9 (4),4 (3),3 (2),48 (6),61 (6),74 (5),80 (5),36 (5),6 (3),4 (2),1 (1)
5,MD,32 (5),3 (2),16 (4),8 (3),10 (3),4 (2),4 (2),60 (5),73 (5),81 (4),79 (4),37 (5),8 (2),3 (2),1 (1)
5,ME,30 (6),3 (2),22 (5),9 (3),12 (4),3 (2),0 (0),46 (7),64 (6),75 (6),64 (7),45 (7),11 (4),2 (1),1 (1)
5,MI,26 (5),2 (1),17 (4),11 (3),7 (3),3 (3),2 (2),50 (6),61 (6),70 (6),70 (5),39 (6),9 (3),3 (1),2 (1)
5,MN,27 (5),6 (3),25 (5),20 (4),8 (3),6 (2),2 (1),41 (5),52 (5),60 (6),45 (5),50 (6),13 (4),7 (3),3 (2)
5,MO,32 (5),5 (2),23 (5),16 (4),14 (4),6 (3),1 (2),43 (6),56 (6),71 (5),54 (6),47 (6),12 (4),5 (3),1 (1)
5,MS,41 (7),5 (3),16 (5),13 (5),12 (5),9 (4),0 (0),44 (7),56 (8),77 (6),60 (7),46 (8),11 (4),5 (3),1 (2)
5,MT,46 (7),7 (3),23 (6),30 (7),9 (4),3 (2),0 (1),25 (6),39 (7),64 (7),32 (7),53 (7),16 (6),8 (4),1 (1)
5,NC,33 (5),3 (2),22 (5),15 (4),13 (4),8 (3),2 (2),49 (6),59 (6),67 (6),54 (6),41 (6),10 (4),4 (2),2 (2)
5,ND,46 (10),4 (4),28 (8),33 (9),13 (6),4 (3),2 (2),28 (8),35 (9),58 (10),27 (8),59 (9),16 (8),7 (5),4 (4)
5,NE,40 (7),7 (3),29 (6),21 (6),15 (5),5 (3),2 (2),35 (6),47 (7),66 (7),49 (7),50 (7),17 (5),5 (3),1 (1)
5,NH,32 (5),3 (2),21 (5),14 (4),11 (4),2 (1),0 (1),48 (6),59 (6),75 (5),64 (6),38 (6),8 (3),4 (3),1 (1)
5,NJ,33 (6),3 (3),17 (5),10 (4),8 (3),2 (1),4 (3),59 (6),70 (6),79 (5),80 (5),34 (6),7 (3),2 (2),2 (1)
5,NM,29 (7),8 (4),21 (7),14 (6),19 (8),7 (4),1 (1),46 (9),64 (8),71 (8),69 (8),41 (9),7 (5),4 (3),2 (2)
5,NV,34 (7),8 (6),16 (6),19 (6),10 (5),2 (1),6 (4),50 (7),57 (7),78 (6),62 (7),41 (7),11 (4),3 (2),2 (2)
5,NY,25 (5),3 (2),13 (3),8 (2),11 (3),3 (1),9 (3),63 (5),71 (4),78 (4),81 (4),31 (4),9 (3),1 (1),1 (1)
5,OH,36 (5),4 (2),17 (4),16 (4),13 (3),7 (2),3 (2),47 (5),59 (5),76 (4),58 (5),48 (5),11 (3),5 (2),3 (2)
5,OK,38 (8),1 (2),17 (6),14 (5),10 (4),6 (4),2 (2),40 (8),55 (8),68 (7),50 (8),38 (7),8 (3),4 (3),3 (2)
5,OR,33 (6),8 (4),21 (5),21 (5),10 (4),5 (3),3 (3),47 (6),55 (6),65 (6),52 (6),41 (6),9 (3),4 (3),3 (2)
5,PA,30 (4),3 (1),18 (4),11 (3),12 (3),5 (2),3 (2),52 (5),60 (5),73 (4),76 (4),40 (5),10 (3),4 (2),1 (1)
5,RI,37 (7),8 (4),19 (5),12 (4),13 (5),5 (3),2 (2),52 (7),65 (7),72 (6),74 (6),45 (7),11 (4),3 (2),2 (2)
5,SC,36 (6),4 (2),16 (4),18 (4),12 (4),9 (3),1 (2),55 (6),62 (6),77 (5),59 (6),42 (6),13 (4),4 (3),1 (1)
5,SD,42 (8),6 (3),29 (7),20 (6),12 (5),10 (6),0 (1),24 (6),47 (8),62 (8),35 (7),58 (8),11 (4),8 (5),2 (2)
5,TN,37 (5),3 (2),19 (4),18 (4),15 (4),9 (3),2 (2),44 (6),57 (5),78 (5),56 (5),46 (5),10 (3),7 (3),2 (1)
5,TX,32 (4),6 (2),14 (3),15 (3),11 (3),6 (2),3 (2),51 (5),61 (4),75 (4),65 (4),41 (4),11 (3),4 (2),1 (1)
5,UT,37 (6),9 (4),21 (6),17 (5),13 (5),4 (3),7 (4),40 (7),47 (7),70 (6),52 (7),58 (7),13 (5),5 (3),4 (3)
5,VA,33 (5),6 (3),19 (4),13 (3),14 (4),4 (2),1 (1),54 (5),63 (5),71 (5),71 (5),50 (5),10 (3),5 (2),3 (2)
5,VT,29 (6),4 (2),20 (6),9 (4),12 (5),3 (4),1 (1),47 (8),58 (8),72 (7),63 (8),47 (8),8 (4),6 (5),0 (1)
5,WA,31 (5),5 (2),18 (5),13 (4),13 (4),4 (2),5 (3),48 (6),59 (6),70 (6),61 (6),38 (6),7 (3),3 (2),1 (1)
5,WI,38 (6),7 (3),18 (5),18 (4),11 (4),2 (1),2 (1),43 (6),59 (5),66 (5),48 (6),45 (6),10 (3),4 (2),2 (2)
5,WV,30 (7),7 (4),19 (5),16 (5),15 (5),5 (4),2 (2),46 (8),56 (8),73 (7),51 (8),44 (7),8 (3),6 (4),3 (2)
5,WY,27 (8),2 (2),22 (8),19 (8),14 (7),7 (4),0 (0),37 (10),44 (10),56 (10),39 (11),53 (11),16 (8),9 (6),2 (4)
7,National,33 (1),6 (0),16 (1),14 (1),11 (1),5 (0),3 (0),53 (1),62 (1),75 (1),74 (1),41 (1),10 (1),4 (0),2 (0)
7,AK,41 (13),6 (6),25 (11),17 (9),20 (12),11 (8),2 (4),52 (13),59 (13),68 (12),69 (11),51 (13),9 (6),2 (4),3 (4)
7,AL,33 (6),7 (4),20 (5),14 (4),17 (5),7 (3),2 (2),52 (7),62 (6),75 (6),69 (6),41 (6),11 (4),5 (3),2 (1)
7,AR,34 (7),6 (3),17 (5),19 (6),13 (5),7 (4),0 (0),48 (7),58 (7),71 (7),68 (7),41 (7),12 (4),6 (4),2 (2)
7,AZ,34 (8),2 (1),13 (7),10 (4),15 (7),4 (3),3 (3),57 (9),58 (9),79 (6),78 (7),32 (8),7 (4),2 (2),1 (1)
7,CA,31 (6),7 (4),12 (5),10 (4),10 (5),3 (2),2 (1),61 (6),69 (6),74 (6),80 (6),29 (6),7 (3),1 (1),0 (0)
7,CO,33 (7),5 (2),20 (6),11 (4),14 (5),6 (4),2 (2),46 (7),53 (7),71 (7),74 (6),42 (7),11 (4),5 (3),1 (1)
7,CT,32 (6),4 (3),18 (5),13 (4),9 (4),4 (3),2 (2),53 (6),68 (6),73 (6),83 (5),42 (6),7 (3),4 (3),0 (0)
7,DC,22 (6),8 (4),15 (5),10 (4),9 (4),5 (3),13 (5),60 (7),66 (7),76 (6),78 (6),41 (7),9 (5),1 (2),2 (3)
7,DE,29 (8),7 (5),19 (8),14 (6),16 (8),3 (2),0 (0),59 (8),68 (8),83 (6),90 (4),36 (8),11 (6),2 (1),0 (1)
7,FL,29 (6),6 (3),9 (3),13 (5),13 (5),5 (3),1 (1),58 (6),66 (6),75 (6),81 (4),34 (6),9 (4),4 (3),0 (0)
7,GA,28 (5),9 (4),19 (5),17 (5),13 (4),7 (3),1 (1),59 (6),64 (6),76 (5),68 (6),39 (6),10 (4),2 (1),2 (2)
7,HI,41 (8),6 (4),18 (6),12 (5),11 (6),3 (2),3 (2),52 (8),62 (8),71 (7),82 (6),40 (8),14 (6),4 (3),1 (1)
7,IA,39 (6),5 (3),24 (6),16 (5),13 (4),4 (3),1 (1),41 (6),56 (6),68 (6),55 (7),46 (6),13 (5),4 (2),2 (2)
7,ID,41 (6),3 (1),17 (5),14 (5),9 (3),4 (3),0 (1),41 (7),50 (7),73 (6),54 (7),48 (7),12 (4),4 (2),2 (1)
7,IL,30 (6),6 (3),14 (4),15 (4),12 (4),4 (2),5 (3),56 (6),62 (6),74 (5),78 (5),40 (6),11 (4),3 (2),1 (1)
7,IN,36 (7),4 (2),18 (5),16 (5),10 (4),5 (3),1 (1),39 (7),55 (7),68 (7),63 (7),47 (7),15 (5),5 (3),2 (2)
7,KS,39 (6),9 (4),20 (5),16 (5),16 (5),5 (3),2 (2),47 (7),56 (7),68 (6),69 (6),45 (6),14 (4),3 (2),3 (2)
7,KY,29 (6),3 (2),14 (5),12 (4),9 (4),3 (2),1 (1),52 (7),64 (7),77 (6),68 (6),37 (7),8 (3),3 (1),2 (3)
7,LA,28 (6),3 (2),13 (4),11 (5),14 (6),5 (3),1 (1),53 (8),61 (8),79 (6),74 (7),36 (7),8 (4),5 (3),2 (2)
7,MA,34 (6),8 (3),20 (5),16 (5),13 (5),4 (2),2 (2),53 (6),66 (6),71 (6),78 (6),39 (6),7 (3),4 (3),0 (0)
7,MD,31 (6),5 (2),14 (4),13 (4),6 (3),3 (2),3 (2),57 (6),69 (6),80 (5),85 (4),33 (6),7 (3),3 (2),1 (1)
7,ME,31 (7),4 (3),21 (6),13 (5),9 (4),3 (2),1 (2),46 (7),57 (7),74 (6),64 (7),41 (7),7 (4),3 (3),2 (1)
7,MI,32 (7),3 (3),19 (6),15 (5),10 (4),4 (3),3 (3),52 (7),60 (7),71 (6),77 (6),43 (7),14 (5),2 (3),3 (3)
7,MN,34 (6),6 (3),19 (5),17 (5),10 (4),4 (3),2 (2),40 (6),59 (7),68 (6),63 (6),42 (6),11 (4),3 (2),2 (1)
7,MO,37 (7),5 (4),21 (6),20 (5),9 (3),7 (3),1 (2),39 (7),45 (7),68 (7),61 (7),56 (7),16 (6),6 (3),2 (1)
7,MS,36 (8),2 (1),14 (5),19 (6),13 (5),6 (3),0 (0),53 (8),64 (8),73 (7),74 (6),45 (8),11 (4),5 (3),1 (1)
7,MT,35 (7),7 (3),21 (6),14 (5),12 (5),4 (3),1 (1),31 (7),50 (7),73 (7),60 (7),50 (7),14 (5),4 (2),2 (2)
7,NC,33 (6),4 (3),18 (5),15 (5),12 (4),8 (3),2 (2),53 (6),65 (6),78 (5),76 (5),37 (6),9 (4),2 (1),1 (1)
7,ND,47 (10),5 (3),18 (7),25 (8),7 (4),2 (1),1 (2),34 (9),39 (9),62 (10),44 (10),50 (10),14 (7),4 (3),1 (2)
7,NE,39 (7),5 (3),18 (5),20 (6),12 (4),8 (4),1 (1),38 (7),52 (7),66 (7),54 (7),53 (7),12 (5),7 (3),1 (1)
7,NH,30 (6),7 (4),14 (5),13 (5),8 (4),2 (1),2 (2),54 (7),66 (6),75 (6),74 (6),37 (6),8 (3),3 (2),2 (2)
7,NJ,31 (7),5 (4),15 (5),7 (4),7 (4),2 (1),4 (4),60 (7),66 (7),78 (6),83 (6),34 (7),6 (4),4 (3),2 (3)
7,NM,27 (7),8 (5),14 (6),10 (5),16 (7),7 (5),0 (0),55 (8),61 (8),72 (8),80 (7),42 (8),13 (5),6 (5),3 (4)
7,NV,31 (7),6 (4),17 (6),13 (4),8 (3),2 (1),4 (2),46 (8),57 (8),73 (8),82 (5),45 (8),12 (4),5 (5),3 (2)
7,NY,24 (5),4 (2),10 (3),9 (4),9 (4),5 (3),6 (3),64 (6),75 (5),79 (5),87 (4),38 (6),7 (3),2 (2),1 (1)
7,OH,33 (5),6 (3),16 (4),12 (3),12 (4),7 (3),4 (3),56 (6),60 (5),77 (5),71 (5),39 (5),9 (3),3 (2),2 (1)
7,OK,38 (7),5 (4),14 (5),17 (5),11 (4),2 (2),1 (1),44 (7),55 (7),72 (7),66 (7),41 (7),11 (5),5 (3),2 (2)
7,OR,26 (6),3 (2),16 (5),13 (5),8 (3),4 (3),5 (3),49 (7),63 (6),72 (6),73 (6),36 (6),9 (3),1 (1),1 (1)
7,PA,27 (6),6 (3),18 (6),12 (5),7 (3),6 (3),2 (2),54 (7),56 (7),73 (6),78 (6),41 (7),13 (5),5 (3),1 (1)
7,RI,31 (6),6 (4),20 (6),11 (4),7 (3),5 (3),2 (2),58 (7),67 (6),74 (6),82 (6),47 (7),14 (5),4 (3),2 (2)
7,SC,32 (6),5 (3),13 (4),12 (4),11 (5),5 (3),1 (2),55 (7),62 (7),74 (6),69 (6),40 (7),6 (2),3 (2),2 (2)
7,SD,44 (8),5 (3),31 (8),23 (6),12 (5),12 (5),0 (0),25 (7),39 (8),62 (8),37 (8),57 (8),17 (7),8 (4),5 (3)
7,TN,36 (6),8 (4),17 (5),16 (5),12 (4),7 (3),1 (1),43 (6),59 (6),74 (6),62 (6),40 (6),9 (3),4 (2),2 (1)
7,TX,32 (6),5 (2),16 (5),14 (5),10 (4),4 (2),4 (2),59 (6),65 (6),77 (5),77 (5),38 (6),9 (4),2 (1),1 (1)
7,UT,43 (6),8 (3),24 (6),15 (4),12 (4),6 (3),5 (3),46 (6),54 (6),76 (5),68 (6),49 (6),13 (4),7 (3),2 (1)
7,VA,40 (7),4 (3),14 (5),11 (4),7 (3),5 (2),2 (2),56 (7),66 (6),76 (6),75 (6),40 (7),8 (3),4 (3),1 (1)
7,VT,28 (7),5 (3),16 (6),11 (6),11 (6),4 (3),3 (3),51 (8),63 (8),65 (8),71 (8),43 (8),8 (5),2 (2),1 (1)
7,WA,33 (6),6 (4),17 (5),12 (4),14 (5),3 (2),4 (3),59 (6),66 (6),73 (5),80 (5),38 (6),9 (4),1 (1),2 (2)
7,WI,35 (5),6 (3),20 (5),16 (4),8 (3),3 (2),1 (1),46 (6),53 (6),63 (6),57 (6),45 (6),10 (3),7 (3),1 (1)
7,WV,31 (7),1 (1),16 (5),14 (5),14 (6),6 (3),1 (1),51 (7),63 (7),75 (7),71 (7),37 (7),15 (6),4 (3),1 (1)
7,WY,44 (11),4 (4),20 (8),17 (8),10 (6),5 (4),0 (0),38 (11),49 (11),68 (10),48 (11),52 (11),12 (6),8 (6),2 (2)
9,National,35 (1),5 (0),18 (1),15 (1),12 (1),5 (0),3 (0),50 (1),61 (1),75 (1),76 (1),43 (1),10 (0),4 (0),2 (0)
9,AK,28 (12),1 (2),27 (13),12 (9),11 (11),3 (4),0 (0),58 (14),75 (12),78 (11),80 (11),46 (15),11 (9),9 (9),0 (0)
9,AL,34 (5),3 (2),20 (5),17 (4),12 (4),11 (4),1 (1),45 (6),55 (6),72 (6),71 (5),48 (6),12 (3),5 (3),2 (1)
9,AR,39 (6),5 (3),21 (5),14 (5),12 (4),8 (3),2 (3),46 (7),57 (7),76 (6),74 (6),48 (7),9 (4),6 (3),4 (2)
9,AZ,37 (6),3 (2),14 (4),12 (4),10 (4),4 (2),4 (3),52 (6),58 (6),79 (5),74 (6),40 (6),8 (3),2 (1),2 (2)
9,CA,30 (5),3 (1),15 (4),13 (3),13 (4),3 (1),2 (2),59 (5),66 (5),74 (4),82 (4),35 (5),10 (3),2 (1),1 (1)
9,CO,40 (6),5 (2),25 (5),18 (4),13 (4),5 (3),4 (2),38 (5),48 (6),67 (5),67 (5),48 (6),13 (4),7 (3),3 (2)
9,CT,37 (6),4 (2),17 (5),14 (4),11 (4),3 (2),4 (3),51 (6),67 (6),77 (5),78 (5),38 (6),8 (4),2 (1),2 (1)
9,DC,23 (7),5 (3),14 (5),12 (6),15 (7),2 (2),15 (7),71 (8),73 (7),81 (6),86 (6),31 (7),5 (3),2 (2),1 (1)
9,DE,31 (8),3 (3),13 (5),9 (3),10 (5),4 (3),2 (2),54 (8),68 (7),83 (5),85 (6),37 (8),6 (4),4 (3),1 (1)
9,FL,30 (5),7 (3),15 (4),12 (3),15 (4),5 (2),2 (2),55 (5),67 (5),76 (5),79 (4),37 (5),8 (2),3 (2),1 (1)
9,GA,34 (5),6 (2),16 (4),19 (4),12 (4),6 (2),1 (1),50 (5),57 (5),77 (4),74 (5),42 (5),9 (3),5 (2),2 (1)
9,HI,34 (9),3 (2),19 (7),13 (6),11 (6),4 (3),5 (4),63 (8),76 (7),80 (7),80 (8),42 (9),10 (5),3 (3),1 (1)
9,IA,40 (7),3 (3),14 (4),16 (5),15 (6),2 (2),1 (2),29 (7),47 (8),58 (8),52 (8),51 (8),15 (5),6 (4),2 (2)
9,ID,43 (9),10 (6),21 (7),15 (6),24 (7),6 (4),1 (1),36 (9),52 (9),68 (9),62 (8),48 (9),12 (7),7 (4),2 (2)
9,IL,32 (5),5 (2),17 (4),18 (4),10 (3),5 (2),6 (2),50 (5),67 (5),75 (4),78 (4),40 (5),9 (3),5 (2),1 (1)
9,IN,40 (6),4 (2),21 (5),21 (5),13 (4),8 (3),2 (1),43 (6),55 (6),72 (5),69 (6),48 (6),14 (4),6 (2),4 (2)
9,KS,47 (6),10 (4),27 (5),23 (5),11 (4),6 (3),1 (1),44 (6),50 (6),68 (6),67 (6),52 (6),13 (4),8 (4),3 (2)
9,KY,37 (5),5 (3),21 (4),15 (4),15 (4),5 (2),3 (2),44 (5),57 (5),73 (5),70 (5),42 (5),10 (3),5 (2),3 (2)
9,LA,37 (6),6 (3),18 (5),14 (4),17 (5),9 (4),3 (3),56 (7),65 (6),76 (6),74 (6),43 (7),9 (4),5 (3),1 (1)
9,MA,35 (5),6 (3),19 (4),19 (4),13 (4),2 (1),3 (2),51 (5),66 (5),75 (5),82 (4),39 (5),11 (3),2 (1),0 (0)
9,MD,30 (5),3 (1),15 (4),13 (4),13 (4),5 (3),2 (2),55 (5),67 (5),80 (4),86 (3),38 (5),9 (3),3 (2),0 (0)
9,ME,38 (7),5 (3),23 (6),12 (4),17 (6),4 (3),0 (0),47 (7),59 (7),70 (7),66 (7),45 (7),12 (5),3 (2),1 (1)
9,MI,31 (5),2 (1),18 (4),15 (3),11 (3),5 (2),0 (0),45 (5),60 (5),75 (4),77 (4),41 (5),11 (4),4 (2),2 (1)
9,MN,33 (5),4 (2),20 (4),16 (4),13 (4),5 (2),2 (2),46 (6),57 (6),71 (5),71 (5),47 (6),10 (3),6 (3),2 (1)
9,MO,36 (5),5 (2),25 (5),20 (5),12 (4),5 (2),2 (1),40 (6),51 (6),75 (5),69 (5),52 (6),12 (3),6 (2),5 (3)
9,MS,45 (8),3 (3),25 (7),13 (5),15 (6),11 (6),1 (1),43 (8),60 (8),73 (8),74 (7),44 (8),9 (4),7 (4),3 (2)
9,MT,47 (9),3 (3),23 (8),16 (5),11 (5),3 (3),1 (1),31 (8),53 (9),71 (8),72 (8),56 (9),20 (7),6 (4),0 (0)
9,NC,31 (5),2 (1),15 (4),14 (3),9 (3),7 (2),1 (1),50 (6),62 (5),74 (5),76 (5),41 (5),12 (4),4 (2),1 (1)
9,ND,54 (10),4 (3),22 (8),21 (7),12 (6),10 (6),2 (3),27 (9),39 (10),65 (9),48 (10),57 (10),12 (6),9 (6),5 (4)
9,NE,42 (7),4 (3),20 (6),24 (7),13 (5),6 (4),1 (2),29 (7),43 (7),70 (7),65 (7),56 (7),14 (5),5 (3),5 (4)
9,NH,39 (8),8 (5),20 (7),16 (6),18 (7),3 (2),1 (2),38 (8),59 (8),67 (8),70 (8),51 (9),16 (7),3 (2),0 (0)
9,NJ,33 (5),1 (1),21 (5),10 (3),11 (4),5 (2),3 (2),54 (5),70 (5),77 (5),82 (4),39 (5),9 (3),2 (1),1 (1)
9,NM,41 (8),4 (3),20 (7),12 (6),10 (4),6 (4),2 (2),51 (8),68 (8),70 (8),82 (5),43 (8),10 (6),2 (2),1 (1)
9,NV,42 (6),8 (3),16 (5),18 (5),12 (4),2 (2),4 (3),49 (6),54 (6),82 (5),85 (5),42 (6),11 (4),4 (2),3 (2)
9,NY,33 (5),4 (2),16 (4),11 (3),12 (4),7 (3),10 (3),58 (5),68 (5),75 (5),79 (5),38 (5),9 (3),2 (1),1 (1)
9,OH,37 (5),4 (2),19 (4),16 (4),12 (3),6 (2),1 (1),42 (5),59 (5),73 (4),71 (5),44 (5),11 (3),4 (2),3 (2)
9,OK,40 (6),5 (3),23 (5),17 (4),11 (3),9 (4),1 (1),42 (6),53 (6),72 (6),68 (6),44 (6),11 (4),4 (2),3 (2)
9,OR,38 (6),6 (3),19 (5),17 (4),12 (4),5 (3),5 (3),43 (6),59 (6),72 (5),73 (5),45 (6),12 (4),4 (2),2 (1)
9,PA,35 (5),5 (2),18 (4),15 (4),13 (4),5 (2),2 (2),40 (5),54 (5),70 (5),70 (5),45 (5),12 (3),6 (2),2 (2)
9,RI,35 (8),14 (7),17 (6),10 (4),9 (5),4 (4),3 (3),56 (8),72 (7),80 (7),87 (6),41 (8),9 (4),4 (3),0 (1)
9,SC,41 (6),5 (3),15 (4),17 (5),16 (4),5 (3),1 (1),49 (6),61 (6),77 (5),73 (6),45 (6),13 (4),4 (2),2 (2)
9,SD,36 (10),4 (3),26 (11),23 (11),17 (10),11 (6),0 (1),38 (11),45 (11),64 (10),47 (11),53 (11),15 (9),11 (8),3 (3)
9,TN,37 (5),5 (2),19 (4),17 (4),15 (4),6 (2),2 (1),46 (5),57 (5),76 (4),71 (5),49 (5),8 (3),8 (3),2 (1)
9,TX,33 (5),5 (2),12 (3),12 (3),11 (3),8 (3),2 (1),55 (5),66 (5),76 (4),81 (4),35 (5),9 (3),1 (1),2 (1)
9,UT,39 (7),11 (4),34 (8),22 (7),21 (7),12 (6),6 (5),34 (8),51 (8),71 (8),63 (8),53 (8),14 (6),6 (4),1 (1)
9,VA,34 (5),8 (3),15 (4),15 (4),11 (4),6 (3),2 (2),50 (5),61 (5),75 (5),77 (5),37 (5),9 (3),2 (2),2 (2)
9,VT,23 (8),3 (4),15 (7),3 (2),15 (8),1 (2),4 (4),51 (11),62 (10),65 (11),80 (8),34 (10),13 (7),0 (1),1 (1)
9,WA,33 (5),5 (2),19 (4),14 (4),11 (3),2 (1),5 (3),45 (5),61 (5),72 (5),79 (4),41 (5),7 (3),3 (2),2 (1)
9,WI,41 (6),6 (3),22 (5),20 (4),11 (4),6 (3),2 (1),40 (5),53 (6),70 (5),71 (5),53 (5),12 (4),6 (3),2 (2)
9,WV,30 (6),3 (3),24 (7),14 (4),14 (4),6 (4),1 (2),48 (7),56 (7),78 (6),67 (7),41 (7),7 (3),6 (4),1 (1)
9,WY,40 (11),1 (1),24 (10),14 (6),16 (7),6 (5),2 (2),35 (12),41 (12),69 (11),50 (12),59 (12),22 (9),5 (4),3 (4)
10,National,38 (1),6 (0),17 (1),16 (1),12 (1),5 (0),3 (0),48 (1),58 (1),74 (1),75 (1),45 (1),11 (1),4 (0),2 (0)
10,AK,45 (11),3 (3),26 (9),10 (7),10 (6),2 (2),0 (0),39 (11),58 (10),69 (10),77 (9),48 (11),9 (6),2 (2),1 (2)
10,AL,34 (6),5 (2),18 (5),19 (5),14 (5),9 (5),1 (1),48 (7),57 (6),76 (6),72 (6),48 (7),7 (3),9 (4),2 (2)
10,AR,42 (8),4 (2),17 (6),10 (4),8 (4),5 (2),0 (0),34 (7),49 (8),67 (8),71 (8),42 (8),11 (5),4 (3),3 (4)
10,AZ,36 (6),8 (3),20 (5),20 (5),12 (4),5 (3),4 (3),49 (6),53 (6),72 (6),72 (5),46 (6),10 (3),4 (2),3 (2)
10,CA,34 (4),6 (2),14 (3),11 (2),11 (3),3 (1),3 (2),56 (4),67 (4),75 (3),80 (3),39 (4),8 (2),3 (1),1 (1)
10,CO,32 (6),5 (2),15 (4),15 (4),9 (3),5 (3),3 (2),41 (6),53 (6),68 (6),73 (6),43 (6),14 (4),6 (4),2 (1)
10,CT,40 (6),5 (3),17 (5),12 (4),12 (4),4 (2),3 (2),48 (6),61 (6),77 (5),82 (5),46 (6),14 (5),4 (2),1 (1)
10,DC,30 (7),5 (3),13 (5),13 (5),16 (6),8 (5),16 (7),67 (7),72 (6),76 (6),81 (6),41 (7),7 (3),2 (3),2 (2)
10,DE,37 (8),8 (5),18 (6),14 (5),14 (5),5 (3),3 (2),56 (8),67 (7),80 (6),82 (7),48 (8),14 (7),4 (2),3 (3)
10,FL,38 (4),6 (2),15 (3),17 (3),12 (3),4 (2),5 (2),49 (4),61 (4),78 (3),78 (4),42 (4),9 (2),5 (2),2 (1)
10,GA,38 (5),8 (3),13 (3),15 (3),16 (4),4 (2),2 (1),53 (5),60 (5),78 (5),73 (5),44 (5),10 (3),5 (2),3 (2)
10,HI,36 (8),2 (2),12 (5),6 (3),10 (5),3 (3),5 (5),61 (8),73 (7),74 (8),87 (5),36 (8),11 (6),3 (3),0 (0)
10,IA,42 (8),7 (4),25 (8),23 (8),17 (6),5 (3),1 (1),42 (9),51 (9),78 (8),66 (8),44 (8),10 (4),4 (3),3 (2)
10,ID,45 (7),8 (3),24 (6),18 (5),17 (6),9 (4),2 (2),29 (6),44 (7),67 (7),57 (7),55 (7),12 (4),10 (4),4 (2)
10,IL,41 (5),5 (2),18 (4),15 (4),16 (4),5 (2),4 (2),49 (5),62 (5),76 (4),78 (4),49 (5),10 (3),5 (2),1 (1)
10,IN,42 (6),7 (4),19 (5),19 (5),15 (5),6 (3),3 (2),35 (6),49 (6),70 (6),66 (6),57 (6),14 (5),5 (2),3 (2)
10,KS,44 (6),6 (3),21 (5),20 (5),12 (4),4 (2),1 (1),41 (6),55 (6),70 (6),72 (6),52 (7),13 (4),6 (3),4 (2)
10,KY,30 (6),7 (3),14 (5),12 (4),10 (4),5 (2),1 (1),50 (7),58 (7),71 (6),74 (6),41 (7),9 (4),4 (2),2 (2)
10,LA,41 (7),5 (2),16 (5),13 (4),17 (6),10 (5),1 (1),46 (8),61 (7),72 (7),74 (7),46 (8),10 (5),6 (3),3 (2)
10,MA,37 (6),7 (3),19 (5),17 (4),15 (5),2 (1),5 (3),49 (6),58 (6),74 (5),82 (5),47 (6),12 (4),3 (2),2 (2)
10,MD,34 (6),5 (3),15 (5),13 (4),13 (5),3 (1),4 (3),55 (6),69 (6),84 (4),86 (4),36 (6),10 (3),2 (1),1 (2)
10,ME,37 (6),3 (2),19 (5),13 (4),15 (5),2 (1),0 (0),44 (7),58 (7),65 (6),74 (6),49 (7),12 (4),5 (3),1 (1)
